ARTIST,SONG,MF CODE,TRACK
"10 Cc","Dreadlock Holiday","DMG10072-4","04"
"10 Years","Through The Iris","THM2006","--"
"10 Years","Wasteland","THM2005","--"
"10000 Maniacs","Because The Night","JTG069","01"
"10000 Maniacs","Because The Night","MMBK09","05"
"10000 Maniacs","Because The Night","MMGIRSP003","01"
"10000 Maniacs","Because The Night","MMHFP03","01"
"10000 Maniacs","Because The Night","MMTOP04","05"
"10000 Maniacs","Because The Night","NT043","04"
"10000 Maniacs","Because The Night","NT1043","04"
"10000 Maniacs","Because The Night","NTPPS01","--"
"10000 Maniacs","Because The Night","NTV043","05"
"10000 Maniacs","Because The Night","NU2043","04"
"10000 Maniacs","Because The Night","SC8113","05"
"10000 Maniacs","Candy Everybody Wants","DK82","04"
"10000 Maniacs","Candy Everybody Wants","DKG082","04"
"10000 Maniacs","Candy Everybody Wants","DKK082","04"
"10000 Maniacs","Candy Everybody Wants","DKM910","--"
"10000 Maniacs","Like The Weather","RT0015","01"
"10000 Maniacs","More Than This","MM6214","01"
"10000 Maniacs","More Than This","SC3033","02"
"10000 Maniacs","More Than This","SC8390","06"
"10000 Maniacs","These Are The Days","LKC106A","05"
"10000 Maniacs","These Are The Days","PCDG035","02"
"10000 Maniacs","These Are The Days","PI035","02"
"10000 Maniacs","Trouble Me","RT0015","02"
"10000 Maniacs","Trouble Me","SC8439","03"
"101 Dalmations","Artemis Music","SFDVDKC1","03"
"101 Dalmations","Cruella Devil","SFDVDKM1","03"
"10cc","Donna","SF6B135","01"
"10cc","Dreadlock Holiday","DMG10052-1","06"
"10cc","Dreadlock Holiday","DMG10150-5","06"
"10cc","Dreadlock Holiday","MKE1-01","01"
"10cc","Dreadlock Holiday","SF6B135","02"
"10cc","Dreadlock Holiday","VSK70S1","01"
"10cc","Dreadlock Holiday","VSKPH201","01"
"10cc","Good Morning Judge","HSW216","04"
"10cc","Good Morning Judge","SFHS216","04"
"10cc","I'm Mandy","SF079","03"
"10cc","I'm Mandy","SF6B135","03"
"10cc","Im Not In Love","SF6B135","04"
"10cc","I'm Not In Love","DKM910","--"
"10cc","I'm Not In Love","EK012","01"
"10cc","I'm Not In Love","EUR034","01"
"10cc","I'm Not In Love","EZC0006","01"
"10cc","I'm Not In Love","GEK-A1011","05"
"10cc","I'm Not In Love","SFD701-6","05"
"10cc","I'm Not In Love","SFDIGI-052","03"
"10cc","I'm Not In Love","VSK70S1","02"
"10cc","I'm Not In Love","VSKPH101","01"
"10cc","I'm Not In Love","ZGY75","06"
"10cc","I'm Not In Love","ZTP015","04"
"10cc","I'm Not In Love","ZVS006","06"
"10cc","Rubber Bullets","SF071","01"
"10cc","Rubber Bullets","SF6B135","05"
"10cc","Things We Do For Love","MH1099","01"
"10cc","Wall Street Shuffle","SFMW814","01"
"112","Cupid","SC3015","05"
"112","Dance With Me","GEM10120","05"
"112","Dance With Me","SC3277","02"
"112","Dance With Me","SCEMA120","05"
"112","Dance With Me","SMACH5101","01"
"112","Dance With Me","SMACH8401","01"
"112","Only You","SC8295","04"
"112","Peaches And Cream","BC40298","04"
"112","Peaches And Cream","MTS1029","--"
"112","Peaches And Cream","MTS1208","--"
"112","Peaches And Cream","SC3258","02"
"112","Peaches And Cream","SC8702","02"
"112","Right Here For You","PHMPT07","04"
"112","Right Here For You","PHMU0403","04"
"112","U Already Know","SC3442","02"
"112 And Ludacris","Hot And Wet","PHMPT05","02"
"112 And Ludacris","Hot And Wet","PHMU0401","02"
"112 And Ludacris","Hot And Wet","SINU0401","03"
"112 And Super Cat","Na Na Na","PHMPT02","04"
"112 And Super Cat","Na Na Na","PHMU0310","04"
"112 And Super Cat","Na Na Na","SINU0310","04"
"12 Gauge","Dunkie Butt","SC8892","04"
"12 Stones","Crash","TT200","04"
"12 Stones","Far Away","THM2004","--"
"12 Stones","Way I Feel","CB10097","01"
"12 Stones","We Are One","PHM2010","--"
"1910 Fruitgum Company","1 2 3 Red Light","GEM10124","01"
"1910 Fruitgum Company","1 2 3 Red Light","SCEMA124","01"
"1910 Fruitgum Company","Simon Says","STTW1760","04"
"1910 Fruitgum Company","Simon Says","ZSH001-3","06"
"1910 Fruitgum Factory","Simon Says","EUR029","05"
"1910 Fruitgum Factory","Simon Says","PR1244","03"
"1927","Compulsory Hero","SFDU03","03"
"1927","If I Could","ACK016","06"
"1927","If I Could","CKA16","06"
"1927","If I Could","TCK16","02"
"1927","If I Could","TKC16","02"
"1927","That's When I Think Of You","SFID009","04"
"1975","Chocolate","MKH13","00"
"1975","Chocolate","MKH13-1","01"
"1975","Girls","DCK165","03"
"1975","Heart Out","DCK207","01"
"1975","Sound","MKH16-1","01"
"1975","Sound","VSK2016CH1","01"
"1975","Sound","VSKPH301","01"
"2 Chainz Feat Chris Brown","Countdown","PHMU1304","03"
"2 Live Crew","I'm Horny","MTS1029","--"
"2 Live Crew","I'm Horny","MTS1208","--"
"2 Pac","California Love","SF049","04"
"2 Pac","California Love (Original Version)","GEM10021","02"
"2 Pac","California Love (Original Version)","SCDIA021","02"
"2 Pac","Changes","GEM10105","06"
"2 Pac","Changes","MM6380-2","02"
"2 Pac","Changes","SCEMA105","06"
"2 Pac","Dear Mama","DKH01","06"
"2 Pac","Dear Mama","DKM905","--"
"2 Pac","How Do You Want It","MM6170","02"
"2 Pac","How Do You Want It","MM6380-2","05"
"2 Pac","Thugz Mansion","SC8805","01"
"2 Pac","Until The End Of Time","SC3260","02"
"2 Pac And Elton John","Ghetto Gospel","DMG10073-5","06"
"2 Pac And Eminem","One Day At A Time","PHMPT08","04"
"2 Pac And Eminem","One Day At A Time","PHMU0404","04"
